date,freq,ticker,index_name,close,close_norm_100
,,,,^IBEX,
2000-01-01,M,^IBEX,IBEX 35,10835.099609375,100.0
2000-02-01,M,^IBEX,IBEX 35,12585.7998046875,116.15767513385589
2000-03-01,M,^IBEX,IBEX 35,11935.0,110.15127161058416
2000-04-01,M,^IBEX,IBEX 35,11467.900390625,105.84028577552229
2000-05-01,M,^IBEX,IBEX 35,10688.5,98.6469934319002
2000-06-01,M,^IBEX,IBEX 35,10581.2998046875,97.65761447667816
2000-07-01,M,^IBEX,IBEX 35,10531.599609375,97.19891822925746
2000-08-01,M,^IBEX,IBEX 35,10884.7001953125,100.45777692615381
2000-09-01,M,^IBEX,IBEX 35,10950.0,101.0604460943357
2000-10-01,M,^IBEX,IBEX 35,10363.099609375,95.64378716378754
2000-11-01,M,^IBEX,IBEX 35,9214.5,85.04305758321975
2000-12-01,M,^IBEX,IBEX 35,9109.7998046875,84.07675178920648
2001-01-01,M,^IBEX,IBEX 35,10116.0,93.36323951509588
2001-02-01,M,^IBEX,IBEX 35,9551.400390625,88.15240039289267
2001-03-01,M,^IBEX,IBEX 35,9308.2998046875,85.90876078918143
2001-04-01,M,^IBEX,IBEX 35,9761.0,90.08685062345305
2001-05-01,M,^IBEX,IBEX 35,9500.7001953125,87.68447488098845
2001-06-01,M,^IBEX,IBEX 35,8878.400390625,81.94110539549652
2001-07-01,M,^IBEX,IBEX 35,8480.0,78.26416282008829
2001-08-01,M,^IBEX,IBEX 35,8321.099609375,76.79762908847854
2001-09-01,M,^IBEX,IBEX 35,7314.0,67.50284043232615
2001-10-01,M,^IBEX,IBEX 35,7774.2998046875,71.75106907149093
2001-11-01,M,^IBEX,IBEX 35,8364.7001953125,77.20003042773135
2001-12-01,M,^IBEX,IBEX 35,8397.599609375,77.50366782146637
2002-01-01,M,^IBEX,IBEX 35,8050.39990234375,74.29926989668091
2002-02-01,M,^IBEX,IBEX 35,8135.5,75.0846812055222
2002-03-01,M,^IBEX,IBEX 35,8249.7001953125,76.13866501212874
2002-04-01,M,^IBEX,IBEX 35,8154.39990234375,75.259113402965
2002-05-01,M,^IBEX,IBEX 35,7949.89990234375,73.37172881608906
2002-06-01,M,^IBEX,IBEX 35,6913.0,63.801905374442256
2002-07-01,M,^IBEX,IBEX 35,6249.2998046875,57.67644073415193
2002-08-01,M,^IBEX,IBEX 35,6435.7001953125,59.39677923905796
2002-09-01,M,^IBEX,IBEX 35,5431.7001953125,50.13059769762298
2002-10-01,M,^IBEX,IBEX 35,6139.39990234375,56.66214546871055
2002-11-01,M,^IBEX,IBEX 35,6685.60009765625,61.703171532189494
2002-12-01,M,^IBEX,IBEX 35,6036.89990234375,55.71614585915169
2003-01-01,M,^IBEX,IBEX 35,5947.7001953125,54.892898171109486
2003-02-01,M,^IBEX,IBEX 35,5999.39990234375,55.3700484410204
2003-03-01,M,^IBEX,IBEX 35,5870.5,54.18039715039249
2003-04-01,M,^IBEX,IBEX 35,6489.5,59.893311865679586
2003-05-01,M,^IBEX,IBEX 35,6508.5,60.06866789086611
2003-06-01,M,^IBEX,IBEX 35,6862.0,63.33121288578371
2003-07-01,M,^IBEX,IBEX 35,7061.7001953125,65.17429880572956
2003-08-01,M,^IBEX,IBEX 35,7111.2998046875,65.63206671892978
2003-09-01,M,^IBEX,IBEX 35,6703.60009765625,61.869298292892516
2003-10-01,M,^IBEX,IBEX 35,7129.5,65.80004113512021
2003-11-01,M,^IBEX,IBEX 35,7252.5,66.93524066659083
2003-12-01,M,^IBEX,IBEX 35,7737.2001953125,71.40866696433447
2004-01-01,M,^IBEX,IBEX 35,7929.89990234375,73.18714352641904
2004-02-01,M,^IBEX,IBEX 35,8249.400390625,76.13589803537441
2004-03-01,M,^IBEX,IBEX 35,8018.10009765625,74.00116645645454
2004-04-01,M,^IBEX,IBEX 35,8109.5,74.84472032895117
2004-05-01,M,^IBEX,IBEX 35,7959.2998046875,73.45848300093861
2004-06-01,M,^IBEX,IBEX 35,8078.2998046875,74.55676547447523
2004-07-01,M,^IBEX,IBEX 35,7919.2998046875,73.08931242159858
2004-08-01,M,^IBEX,IBEX 35,7869.5,72.62969685291094
2004-09-01,M,^IBEX,IBEX 35,8029.2001953125,74.10361219351677
2004-10-01,M,^IBEX,IBEX 35,8418.2998046875,77.69471539886555
2004-11-01,M,^IBEX,IBEX 35,8693.0,80.22999615507399
2004-12-01,M,^IBEX,IBEX 35,9080.7998046875,83.80910311918495
2005-01-01,M,^IBEX,IBEX 35,9223.900390625,85.1298162745461
2005-02-01,M,^IBEX,IBEX 35,9391.0,86.67202276455768
2005-03-01,M,^IBEX,IBEX 35,9258.7998046875,85.45191219724812
2005-04-01,M,^IBEX,IBEX 35,9001.599609375,83.07814356950097
2005-05-01,M,^IBEX,IBEX 35,9427.099609375,87.00519560723062
2005-06-01,M,^IBEX,IBEX 35,9783.2001953125,90.29174209757748
2005-07-01,M,^IBEX,IBEX 35,10115.599609375,93.35954420412105
2005-08-01,M,^IBEX,IBEX 35,10008.900390625,92.37478889409438
